Set,Run #1,Run #1,Run #1,Run #1,Run #1
Internal Pressure P1 (kPa),Time (s),Internal Pressure P0 (kPa),Ambient Pressure (kPa),Differential Pressure₁₋₂ (kPa),Calc1 (units)
,30,115.05,99.9,15.14,115.05
,30.2,115.04,99.9,15.14,115.04
,30.4,115.03,99.9,15.13,115.03
,30.6,115.03,99.9,15.12,115.03
,30.8,115.02,99.91,15.12,115.02
,31,115.02,99.9,15.11,115.02
,31.2,115.01,99.9,15.11,115.01
,31.4,115.01,99.9,15.11,115.01
,31.6,115,99.9,15.1,115
,31.8,114.99,99.9,15.09,114.99
,32,114.99,99.9,15.09,114.99
,32.2,114.98,99.9,15.08,114.98
,32.4,114.98,99.9,15.08,114.98
,32.6,114.98,99.9,15.07,114.98
,32.8,114.97,99.9,15.07,114.97
,33,114.97,99.91,15.06,114.97
,33.2,114.97,99.9,15.06,114.97
,33.4,114.96,99.9,15.06,114.96
,33.6,114.96,99.91,15.05,114.96
,33.8,114.95,99.9,15.05,114.95
,34,114.95,99.91,15.04,114.95
,34.2,114.94,99.9,15.04,114.94
,34.4,114.94,99.9,15.04,114.94
,34.6,114.94,99.9,15.03,114.94
,34.8,114.93,99.9,15.03,114.93
,35,114.93,99.9,15.03,114.93
,35.2,114.92,99.9,15.02,114.92
,35.4,114.92,99.9,15.02,114.92
,35.6,114.92,99.9,15.02,114.92
,35.8,114.91,99.9,15.01,114.91
,36,114.91,99.9,15.01,114.91
,36.2,114.91,99.91,15,114.91
,36.4,114.9,99.91,15,114.9
,36.6,114.9,99.9,15,114.9
,36.8,114.9,99.9,15,114.9
,37,114.9,99.9,14.99,114.9
,37.2,114.9,99.9,14.99,114.9
,37.4,114.89,99.9,14.99,114.89
,37.6,114.89,99.9,14.98,114.89
,37.8,114.88,99.9,14.98,114.88
,38,114.88,99.9,14.98,114.88
,38.2,114.88,99.9,14.98,114.88
,38.4,114.88,99.9,14.97,114.88
,38.6,114.87,99.9,14.97,114.87
,38.8,114.87,99.9,14.97,114.87
,39,114.87,99.9,14.97,114.87
,39.2,114.87,99.9,14.96,114.87
,39.4,114.87,99.9,14.96,114.87
,39.6,114.86,99.9,14.96,114.86
,39.8,114.86,99.9,14.96,114.86
,40,114.86,99.9,14.96,114.86
,40.2,114.85,99.9,14.95,114.85
,40.4,114.85,99.9,14.95,114.85
,40.6,114.85,99.9,14.95,114.85
,40.8,114.85,99.9,14.95,114.85
,41,114.85,99.9,14.95,114.85
,41.2,114.85,99.9,14.95,114.85
,41.4,114.84,99.9,14.94,114.84
,41.6,114.84,99.9,14.94,114.84
,41.8,114.84,99.9,14.94,114.84
,42,114.84,99.9,14.94,114.84
,42.2,114.84,99.9,14.94,114.84
,42.4,114.83,99.9,14.93,114.83
,42.6,114.83,99.9,14.93,114.83
,42.8,114.83,99.9,14.93,114.83
,43,114.83,99.9,14.93,114.83
,43.2,114.83,99.9,14.93,114.83
